title,image,url,text
"
India Rejects Canada's Suspicions on Role in Sikh Leader's Murder
",https://tolonews.comNone,https://tolonews.com/index.php/world-185164,"Reuters) - Canadian Prime Minister Justin Trudeau said authorities were ""actively pursuing credible allegations"" linking New Delhi's agents to the murder of a Sikh separatist leader, a concern India dismissed as ""absurd"".,
,The spat deals a fresh blow to diplomatic ties that have been fraying for years, with New Delhi unhappy over Sikh separatist activity in Canada. It now ,threatens, trade ties too, with talks on a proposed trade deal frozen last week.,
,Each nation also expelled a diplomat in tat-for-tat moves, with Canada throwing out India's top intelligence agent there while New Delhi responded by giving a Canadian diplomat five days to leave.,
,Any involvement of a foreign government in the killing of a Canadian citizen was ""an unacceptable violation of our sovereignty"", Trudeau told the House of Commons in an ,emergency statement, on Monday.,
,He was referring to Hardeep Singh Nijjar, 45, shot dead outside a Sikh temple on June 18 in Surrey, a Vancouver suburb with a large Sikh population, three years after India had designated him as a ""terrorist"".,
,Nijjar supported a Sikh homeland in the form of an independent, so-called state of Khalistan in India's northern state of Punjab, the birthplace of the Sikh religion, which borders Pakistan.,
,On Tuesday, India's foreign ministry said it had given the Canadian diplomat five days to leave the country, without disclosing his name or rank.,
,""The decision reflects the government of India's growing concern at the interference of Canadian diplomats in our internal matters and their involvement in anti-India activities,"" it said in a statement.,
,The ministry had summoned Cameron MacKay, Canada's high commissioner, or ambassador, in New Delhi to notify him of the move, it added.,
,Earlier, New Delhi urged Ottawa to take action against anti-Indian elements in Canada.,
,""Allegations of the government of India's involvement in any act of violence in Canada are absurd and motivated,"" it said, adding that similar accusations made by Trudeau to Prime Minister Narendra Modi had been ""completely rejected"".,
,It said the ""unsubstantiated allegations"" sought to shift focus away from ""Khalistani terrorists and extremists who have been provided shelter in Canada"".,
,'PROMPT AND EFFECTIVE ACTION',
,The ministry added, ""We urge the government of Canada to take prompt and effective legal action against all anti-India elements operating from their soil,"" the ministry said.,
,Trudeau said he had raised the matter directly with Modi on the sidelines of G20 summit in New Delhi on Sept. 9 and 10, and had urged his government to co-operate with Canada to resolve it.,
,Modi, in turn, ,conveyed, strong concern to Trudeau over recent demonstrations in Canada by Sikhs calling for an independent state.,
,Canada has the largest population of Sikhs outside the Indian state of Punjab, with about 770,000 people reporting Sikhism as their religion in the 2021 census.,
,Khalistan is an independent Sikh state whose creation has been sought for decades. A Sikh insurgency killed tens of thousands of people in India in the 1980s and early 1990s before it was suppressed by tough security action.,
,However, New Delhi has been wary of any revival, with a particular focus on small groups of Sikhs in Australia, Britain, Canada and the United States, who support the separatist demand and occasionally stage protests outside its embassies.,
,The United States and Australia expressed ""deep concern"" over Canada’s accusations, while Britain said it was in close touch with its Canadian partners about the ""serious allegations"".,
,India has been particularly sensitive to Sikh protesters in Canada with some Indian analysts saying Ottawa does not stop them as Sikhs are a politically influential group there.,
,In June, India criticised Canada for permitting a float in a parade depicting the 1984 assassination of Prime Minister Indira Gandhi by her bodyguards, perceived to be glorification of violence by Sikh separatists.,
,Ottawa paused talks this month on a proposed trade treaty with India, just three months after both said they aimed to seal an initial deal this year.,
,Modi did not hold a two-way meeting with Trudeau at the G20 summit, despite similar meetings with other world leaders. Days earlier, metro stations in the Indian capital were vandalised with pro-Khalistan graffiti.,
"
"
Gathering Held in Kabul By Hemophilia Illness Patients
",https://tolonews.comNone,https://tolonews.com/health-185039,"Patients who are suffering from hemophilia disease and their family members held a gathering in capital Kabul to protest lack of sufficient blood factors (proteins in blood that contribute to clotting) in the country as they are facing severe challenges.,
,Some of the patients expressed concerns over the suspension of assistance of the aid organizations, saying that the assistance provided by the aid organizations should not be politicized.,
,“The assistance to us should not be politicized. We should persevere and be neutral. We call on the WHO to help us. We are going towards penalization,” said Musa, a patient.,
,“If you don’t recognize our government, we are human after all and a nation. There is no injection, the factor. There is no factor 8 and factor 13 and factor 7. There is no factor. It has been six months, my foot is in pain,” said Mohammad Sami, a patient.,
,20-year-old Bahman said that he is unable to properly walk because of the effects of hemophilia.,
,“Since the factors have been suspended, I am going through severe pain. Both of my feet are harmed. I also have economic challenges and I am unable to purchase the medicine,” he said.,
,This comes as the Afghanistan National Blood Bank (ANBB) said that 98 percent of the patients are at risk of paralysis and death.,
,“We have passed severe pain. We are awake from night till morning. My mom also stayed awake with me,” said Farhad, a patient.,
,“There is a possibility that between 3,000 to 4,000 hemophilia patients are in Afghanistan. When we assess how many of the patients have been harmed or paralyzed, 98 percent of the patients have become severe,” said Mohammad Nasir Sadiq, head of the ANBB.,
,Hemophilia is a rare disorder in which the blood doesn't clot in the typical way because it doesn't have enough blood-clotting proteins (clotting factors).,
,The disease may also cause bleeding for a longer time after an injury.,
"
"
CPJ Concerned by Situation of Journalists in Afghanistan
",https://tolonews.comNone,https://tolonews.com/afghanistan/attack-mediajournalists-184641,"The Committee to Protect Journalists in a statement ,called on the Islamic Emirate to “stop its relentless campaign of media intimidation and abide by its promise to protect journalists in Afghanistan.”,
,Access to reliable and trustworthy information can help save lives and livelihoods in a crisis, but the Taliban’s escalating crackdown on media is doing the opposite.”,
,This comes as some journalists expressed concern over lack of access to information and the arbitrary detention of the journalists.,
,“We call on the Islamic Emirate to provide access to information and provide support to the media,” said Mehdi, a journalist.,
,“Two years after the Taliban takeover, Afghanistan’s once vibrant free press is a ghost of its former self,” said Beh Lih Yi, CPJ’s Asia program coordinator. Beh Lih Yi added that “worsening media repression is isolating Afghanistan from the rest of the world, at a time when the country is grappling with one of the world’s largest humanitarian emergencies.,
,Masror Lutfi, the head of the Afghanistan National Journalists Union (ANJU) said that the independence of the media needs to be respected.,
,“For media activities to be continued properly, there is a need for media independence to be respected. The legal issues which were supporting the media community should be implemented again,” he said.,
,However, the deputy Minister of Information and Culture (MoIC), Mahaajar Farahi, accused the CPJ of not observing neutrality in forming the report.,
,Farahi said that if the journalists are committed to their professions, there is no reason to detain them.,
,Ataullah Omar, the journalist of TOLOnews in Kandahar, was detained by the Islamic Emirate.,
"
"
India Rejects Canada's Suspicions on Role in Sikh Leader's Murder
",https://tolonews.comNone,https://tolonews.com/world-185164,"Reuters) - Canadian Prime Minister Justin Trudeau said authorities were ""actively pursuing credible allegations"" linking New Delhi's agents to the murder of a Sikh separatist leader, a concern India dismissed as ""absurd"".,
,The spat deals a fresh blow to diplomatic ties that have been fraying for years, with New Delhi unhappy over Sikh separatist activity in Canada. It now ,threatens, trade ties too, with talks on a proposed trade deal frozen last week.,
,Each nation also expelled a diplomat in tat-for-tat moves, with Canada throwing out India's top intelligence agent there while New Delhi responded by giving a Canadian diplomat five days to leave.,
,Any involvement of a foreign government in the killing of a Canadian citizen was ""an unacceptable violation of our sovereignty"", Trudeau told the House of Commons in an ,emergency statement, on Monday.,
,He was referring to Hardeep Singh Nijjar, 45, shot dead outside a Sikh temple on June 18 in Surrey, a Vancouver suburb with a large Sikh population, three years after India had designated him as a ""terrorist"".,
,Nijjar supported a Sikh homeland in the form of an independent, so-called state of Khalistan in India's northern state of Punjab, the birthplace of the Sikh religion, which borders Pakistan.,
,On Tuesday, India's foreign ministry said it had given the Canadian diplomat five days to leave the country, without disclosing his name or rank.,
,""The decision reflects the government of India's growing concern at the interference of Canadian diplomats in our internal matters and their involvement in anti-India activities,"" it said in a statement.,
,The ministry had summoned Cameron MacKay, Canada's high commissioner, or ambassador, in New Delhi to notify him of the move, it added.,
,Earlier, New Delhi urged Ottawa to take action against anti-Indian elements in Canada.,
,""Allegations of the government of India's involvement in any act of violence in Canada are absurd and motivated,"" it said, adding that similar accusations made by Trudeau to Prime Minister Narendra Modi had been ""completely rejected"".,
,It said the ""unsubstantiated allegations"" sought to shift focus away from ""Khalistani terrorists and extremists who have been provided shelter in Canada"".,
,'PROMPT AND EFFECTIVE ACTION',
,The ministry added, ""We urge the government of Canada to take prompt and effective legal action against all anti-India elements operating from their soil,"" the ministry said.,
,Trudeau said he had raised the matter directly with Modi on the sidelines of G20 summit in New Delhi on Sept. 9 and 10, and had urged his government to co-operate with Canada to resolve it.,
,Modi, in turn, ,conveyed, strong concern to Trudeau over recent demonstrations in Canada by Sikhs calling for an independent state.,
,Canada has the largest population of Sikhs outside the Indian state of Punjab, with about 770,000 people reporting Sikhism as their religion in the 2021 census.,
,Khalistan is an independent Sikh state whose creation has been sought for decades. A Sikh insurgency killed tens of thousands of people in India in the 1980s and early 1990s before it was suppressed by tough security action.,
,However, New Delhi has been wary of any revival, with a particular focus on small groups of Sikhs in Australia, Britain, Canada and the United States, who support the separatist demand and occasionally stage protests outside its embassies.,
,The United States and Australia expressed ""deep concern"" over Canada’s accusations, while Britain said it was in close touch with its Canadian partners about the ""serious allegations"".,
,India has been particularly sensitive to Sikh protesters in Canada with some Indian analysts saying Ottawa does not stop them as Sikhs are a politically influential group there.,
,In June, India criticised Canada for permitting a float in a parade depicting the 1984 assassination of Prime Minister Indira Gandhi by her bodyguards, perceived to be glorification of violence by Sikh separatists.,
,Ottawa paused talks this month on a proposed trade treaty with India, just three months after both said they aimed to seal an initial deal this year.,
,Modi did not hold a two-way meeting with Trudeau at the G20 summit, despite similar meetings with other world leaders. Days earlier, metro stations in the Indian capital were vandalised with pro-Khalistan graffiti.,
"
"
Afghanistan Crushes Bangladesh in 2nd ODI and Clinches Series
",https://tolonews.comNone,https://tolonews.com/index.php/sport-184109,"(AP) — Openers Rahmanullah Gurbaz and Ibrahim Zadran hit centuries as Afghanistan trounced Bangladesh by 142 runs in the second one-day international and secured the series on Saturday.,
,Gurbaz’s career-best 145 off 125 balls included 13 fours and eight sixes while Zadran made an exact 100 and shared 256 runs for the opening stand, Afghanistan’s highest partnership for any wicket.,
,After that stand, which surpassed the previous best of 218 against Scotland in 2010, Afghanistan lost nine wickets for 75 before putting up 331-9, its highest total against Bangladesh and third largest total in its history.,
,Bangladesh, which lost the first rain-affected match by 17 runs, was bowled out for 189 in 43.2 overs with Ebadbot Hossain unable to bat due to a muscle strain.,
,The 142-run defeat was Bangladesh’s largest by runs to Afghanistan, and only the third ODI series defeat at home since 2015.,
,“Our openers batted really well but it was not an easy wicket to bat on. But it was a good total,” Afghanistan captain Hashmatullah Shahidi said.,
,“From the last series, our bowlers were not bowling in the right areas. We were in Abu Dhabi before this series and worked hard on our game. We have worked hard for the last two years to build this team and hopefully our performance in the Asia Cup and World Cup will be good.”,
,Mushfiqur Rahim, on his 250th ODI, led Bangladesh with 69.,
,Liton Das, leading the side in the absence of Tamim Iqbal, decided to bowl first and it backfired to the local fans’ dismay.,
,Gurbaz got off the mark with a graceful cover drive off Mustafizur Rahman in the opening over.,
,The Bangladesh bowlers were erratic, giving away 33 extras, bowled too short to Gurbaz and failed to trouble Zadran.,
,After hitting eight fours and six sixes, Gurbaz raised his fourth century off exactly 100 balls, tucking a delivery off left-arm spinner Shakib Al Hasan toward midwicket for a single.,
,His next 45 runs came off just 24 balls before Shakib had him leg before with a delivery that kept low. Gurbaz reviewed in vain but his 145 is Afghanistan’s second highest in ODIs.,
,Zadran reached his fourth century, off 118 balls, driving Mustafizur to sweeper cover for a single.,
,Shakib, with 2-50, was the only bowler to concede less than 6 runs per over as they strangled the rest of the lineup after the openers were dislodged.,
,“We were not up to the mark in the field and with the ball,” Liton said. “The way Gurbaz and Ibrahim batted, credit goes to them. After they departed, it was a different ball game, the bowlers bowled well.,
,“As an opener, if you bat like 20-25 overs, it is not difficult but you have to control yourself to not give wickets in the powerplay because they have good quality bowlers.”,
,Pacer Fazalhaq Farooqi, who claimed 3-24 in the first ODI, took 3-22 in this match.,
,He dismissed captain Liton Das (13) and Mohammad Naim (9), who replaced Tamim Iqbal, to give Afghanistan early advantage.,
,Off-spinner Mujeeb Ur Rahman spun one sharply to get the better of the in-form Najmul Hossain at 25-3.,
,Shakib and Towhid Hridoy resisted briefly but the introduction of leg-spinner Rashid Khan hastened the collapse as Bangladesh lost three wickets for seven runs to be left on 72-6.,
,Mushfqiur Rahim and Mehidy Hasan combined for an 87-run stand before Mujeeb dismissed Hasan for 25 and ended with 3-40.,
,Farooqi broke Mushfiqur’s stubborn resistance and Afghanistan had an unassailable 2-0 series lead.,
,The final ODI is on Tuesday.,
"
"
Ruthless India Rout Sri Lanka to Win Asia Cup as Paceman Siraj Shines
",https://tolonews.comNone,https://tolonews.com/index.php/sport-185135,"India lifted the Asia Cup after routing defending champions Sri Lanka by 10 wickets in the final with Mohammed Siraj claiming a career-best 6-21, including four wickets in one over, at the R Premadasa Stadium on Sunday.,
,Electing to bat, Sri Lanka were bundled out for a paltry 50 in 15.2 overs with five batters getting ducks in their sorry-looking scorecard with Siraj the wrecker-in-chief.,
,Siraj's fiery display of pace bowling was best illustrated in his second over when the right-arm quick dismissed Pathum Nissanka, Sadeera Samarawickrama, Charith Asalanka and Dhananjaya de Silva.,
,Hardik Pandya bagged three wickets while Jasprit Bumrah claimed one as Sri Lanka registered their second lowest total in one-day internationals, lasting only 92 balls.,
,India needed 6.1 overs to achieve the target for a timely boost before their home World Cup beginning next month.,
,""It's like a dream,"" Siraj, who became only the fourth bowler to take four wickets in an over in ODIs, said after the Sri Lanka innings.,
,""I got four early wickets last time I played Sri Lanka (earlier this year) but unfortunately I could not register a five-wicket haul.,
,""I realised you get whatever is in your destiny. I just tried to bowl my line and length, and wickets kept coming.,
,""The ball did not swing much in the early matches here but today it swung a lot. My effort was to draw the batters forward and make them play the ball."",
,Bumrah removed Kusal Perera in the first over to trigger a collapse and the Sri Lanka batters looked helpless as Siraj breathed fire with the new ball.,
,Only Kusal Mendis (17) and Dushan Hemanta, who made 13 not out, managed double digits for the home side.,
,India skipper Rohit Sharma held himself back and sent out Ishan Kishan to open the innings with Shubman Gill, opting for a left-right opening stand.,
,The openers scored freely to ensure there was no drama and Kishan, who made 23 not out, scored the winning run of the summit clash, which lasted only 21.3 overs.,
,Gill, the tournament's leading scorer, remained unbeaten on 27.,
,Sri Lanka coach Chris Silverwood bemoaned his team's ""below-par"" performance with the bat.,
,""The way we got dismissed is very disappointing. I think there's a lot of reflection to be done in the dressing room,"" he said.,
,""I thought Siraj was superb ... the Indian bowlers made our life difficult but, at the same time, I think we made our own life difficult as well."",
,India host Australia in a three-match ODI series later this match and the teams will clash again on Oct. 8 in their World Cup opener in Chennai.,
"
"
Fifth Anniversary of Deaths of 2 TOLOnews Staff Observed
",https://tolonews.com/sites/default/files/styles/principal_article_image/public/samimramiz.jpg?itok=PZtncT8B,https://tolonews.com/afghanistan/attack-mediajournalists-184964,"Today (14th of Sunbola, September 5th) is the fifth anniversary of the deaths of two TOLOnews journalists, Samim Faramarz and Ramiz Ahmadi.,
,Reporter Faramarz and cameraman Ahmadi went to cover the scene of a blast in Dasht-e-Barchi in Kabul, but lost their lives in a second blast in the area.,
,Faramarz, who was 28, studied journalism in Kazakhstan and worked for three years for TOLOnews.,
,""I remember each moment although it has been five years since his martyrdom. We could not forget the pain even for five seconds,” said Tamim, Faramarz brother.,
,""Samim was a friendly person, a close friend, and a coworker. Sometimes, when we finished work, we would go out and sit together. He was very interested in literature and Mawlana's poems and memorized many of Mawlana's poems,” said Esmatullah Niazi, head of newsgathering of TOLOnews.,
,Ramiz Ahmadi's father said that he still has not forgotten the pain of losing his son.,
,""It is quite difficult. His loss still makes me hurt. That pain has grown so serious that I myself got 10 or 12 illnesses,” said Noorullah Ahmadi, Ramiz’s father.,
,""He had a lot of dreams and was constantly thinking about his country and his fellow citizens. Ramez was a really kind man,” said Munir Ahmadi, Ramiz’s relative.,
,Kabul police said that at least 20 people were killed in this blast and 70 others were injured.,
"
"
Maternal Mortality Rate Has Decreased: Ministry
",https://tolonews.comNone,https://tolonews.com/health-185045,"The acting Minister of Public Health at the opening of a maternal and children's hospital in Kabul that cost nearly 300 million Afs, said that although the maternal mortality rate in Afghanistan is higher than in any other country, the maternal mortality rate last year reached more than five hundred people, and in 2023 it is 250 people so far.,
,Qalandar Ebad said that there is a need for female health professionals in the health sector, and the Islamic Emirate is trying to pay serious attention to the sector.,
,""Providing good services at mother and child clinics and taking care of patients on time has caused the death rate of mothers and children in the country to decrease to 256,"" said Qalandar Ebad, acting head of the Public Health Ministry.,
,Meanwhile, the head of the Bayat Foundation said that they built a standard hospital for children and mothers on the premises of the 100-bed Andhra Gandhi Hospital in Kabul in two years.,
,""The opening of the hospital helps to further reduce the deaths of mothers and children and will solve people's problems in this field,"" said Ehsanullah Bayat, head of the Bayat Foundation.,
,Abdul Salam Hanafi, the second deputy of the prime minister, asked the international community not to hinder the implementation of development projects in the country and added that everyone must obey the law.,
,""It is the moral duty of countries not to create obstacles for the development projects in the country so that the employment of the youth can be provided for by the implementation of the projects,"" said Abdul Salam Hanafi, the second deputy of the prime minister.,
,Based on the information of the Ministry of Public Health, after the Islamic Emirate took over, 300 clinics have been built in different provinces of the country, and the ministry plans to build new clinics in three hundred districts of the country this year.,
"
"
180 Children With Heart Disorders Treated in Hospitals Last Month: ARCS
",https://tolonews.comNone,https://tolonews.com/index.php/health-184940,"The Afghan Red Crescent Society (ARCS) introduced 180 children who are affected with hole in the heart syndrome to the hospitals in capital Kabul within the last month.,
,A spokesman for the ARCS, Irfanullan Sharafzai, said that efforts are underway to establish a 400-bed hospital for the children who are affected by holes in their hearts.,
,“The ARSC is planning to establish a 50-bed hospital for the treatment of the patients suffering from holes in their hearts,” he said.,
,The families of the children who are suffering from heart holes called on the organizations to boost medical facilities for their children.,
,2-year-old Saleha has been brought to Kabul by his family from Kunar for treatment.,
,“We took her somewhere; they said there is a possibility she would have heart hole disease. After that, I went to ARCS and they referred me here,” said Fazullah, father of Saleha.,
,“We are poor people. We don't even have the taxi fare. If they are treated in our province, that would be better,” said Gulabuddin, a father whose child was affected by a heart hole.,
,Based on figures of the ARCS, 977 children affected by heart holes have been treated over the past six months in the country. The expenses of surgery of each patient costs between $900 to $2,000.  ,
"
